case_name,seed,face_x_idx,face_x_coord,borehole_name,Q_face_mean,Qp_face_mean,Q_bh_mean,Q_bh_median,Qp_bh_mean,Qp_bh_median,RQD_bh_mean,Jn_bh_mean,RQD_borehole_direct_mean,RQD_borehole_direct_median,RQD_borehole_hudson_mean,RQD_borehole_hudson_median,lambda_borehole_mean,borehole_n_intersections_sum,RQD_face_scanline,RQD_face_jv,RQD_face_conservative,lambda_face_scanline,face_scanline_n_intersections,Jv_face,Jv_method,Jr_bh_mean,Ja_bh_mean,Jw_bh_mean,SRF_bh_mean,Q_ratio_bh_to_face,Qp_ratio_bh_to_face,face_fracture_count,bh_fracture_count,common_fracture_count,missed_fracture_count,miss_ratio,detection_ratio,bh_window_length,bh_fracture_frequency,face_fracture_density,bh_union_fracture_frequency,common_fracture_density,missed_fracture_density,orientation_bias_bh,face_orientation_bias,orientation_bias_gap_to_face,Q_match_strict,Q_match_normal,Q_match_loose,Qp_match_strict,Qp_match_normal,Qp_match_loose,case_path,case_name_meta,quality_regime,density_regime,orientation_regime,anisotropy_regime
granite_medium,48,30,30.5,Center,16.19968588627847,18.544505910246013,14.690743511015652,13.764694127356483,18.02109886645351,18.75,100.0,4.0,100.0,100.0,99.93315942627937,100.0,0.14285714285714285,1,100.0,100.0,100.0,0.6,6,1.1,P32_derived_Jv_proxy,1.4329542163467555,1.984001520316003,0.8048841485889537,1.0703939749864075,0.9068536028503535,0.9717756274378108,90,1,0,90,1.0,0.0,7.0,0.14285714285714285,1.1459155902616465,0.14285714285714285,0.0,1.1459155902616465,0.407382760465153,0.34471833130795526,-0.06266442915719772,1,1,1,1,1,1,cases/granite_medium.yaml,granite_medium,medium,medium,mixed,moderate
granite_medium,48,40,40.5,Center,16.622543289076788,19.295146336876833,17.421433633055702,17.712308766788595,18.029261298773374,18.75,98.68629770706943,4.0,98.68629770706943,100.0,99.61598890532413,100.0,0.5714285714285714,4,100.0,100.0,100.0,0.2,2,1.1,P32_derived_Jv_proxy,1.5063106052409785,2.063743104232858,0.7875583548730196,0.9418390975530702,1.0480606565485013,0.9343936026189082,88,4,1,87,0.9886363636363636,0.011363636363636364,7.0,0.5714285714285714,1.1204507993669433,0.5714285714285714,0.012732395447351627,1.1077184039195915,0.22088812116765533,0.4141028799639046,0.19321475879624928,1,1,1,1,1,1,cases/granite_medium.yaml,granite_medium,medium,medium,mixed,moderate
granite_medium,48,50,50.5,Center,14.322838467758862,17.24750953884571,11.002217039960504,10.2250360602012,15.731490987073292,15.413365759281792,99.75348018410548,4.0,99.75348018410548,100.0,99.41546718416224,99.53211598395555,1.0,7,99.82009976113292,100.0,99.82009976113292,0.9,9,1.1,P32_derived_Jv_proxy,1.3940976708016077,2.3019335630495017,0.767523369166922,1.1095839766507354,0.7681589836209369,0.9121021763543331,96,7,4,92,0.9583333333333334,0.041666666666666664,7.0,1.0,1.2223099629457561,1.0,0.05092958178940651,1.1713803811563497,0.4771722080612768,0.4749338216072526,-0.0022383864540241882,0,1,1,1,1,1,cases/granite_medium.yaml,granite_medium,medium,medium,mixed,moderate
granite_medium,48,60,60.5,Center,15.980099991990896,19.120692266223163,16.124158675229303,12.840525806202013,20.664874045377292,18.75,98.57236265825954,4.0,98.57236265825954,100.0,99.27181666292714,99.53211598395555,0.8571428571428571,6,99.9320369955041,100.0,99.9320369955041,0.6,6,1.1,P32_derived_Jv_proxy,1.5361332102360954,1.8908012638216163,0.8021782042711498,1.0979377283755933,1.009014879963868,1.0807597213350866,88,6,3,85,0.9659090909090909,0.03409090909090909,7.0,0.8571428571428571,1.1204507993669433,0.8571428571428571,0.03819718634205488,1.0822536130248883,0.33027304532341273,0.43587750484062204,0.10560445951720931,1,1,1,1,1,1,cases/granite_medium.yaml,granite_medium,medium,medium,mixed,moderate
granite_medium,48,70,70.5,Center,14.524756952748152,17.560187382568255,11.971483851874535,10.943442488068914,18.621989681619606,18.75,99.6432174649827,4.0,99.6432174649827,100.0,99.40549781036842,100.0,0.5714285714285714,4,99.76649058594704,100.0,99.76649058594704,0.8,8,1.1,P32_derived_Jv_proxy,1.4937406923011927,2.032895527009258,0.7591455424399571,1.1964933311168784,0.8242123355881334,1.0604664560758268,97,4,0,97,1.0,0.0,7.0,0.5714285714285714,1.2350423583931078,0.5714285714285714,0.0,1.2350423583931078,0.2788666276926728,0.45503669847171846,0.17617007077904567,1,1,1,1,1,1,cases/granite_medium.yaml,granite_medium,medium,medium,mixed,moderate
granite_medium,48,80,80.5,Center,16.379622140746125,19.066778666423712,11.552562758190618,10.861557612384667,17.02524443473541,18.75,100.0,4.0,100.0,100.0,99.86631885255873,100.0,0.2857142857142857,2,99.46872965826002,100.0,99.46872965826002,0.7,7,1.1,P32_derived_Jv_proxy,1.4596594713781852,2.1944870499495424,0.7879303546949652,1.166426211814707,0.7053009317872075,0.8929271552680573,87,2,1,86,0.9885057471264368,0.011494252873563218,7.0,0.2857142857142857,1.1077184039195915,0.2857142857142857,0.012732395447351627,1.0949860084722398,0.24947601621880033,0.44239235495406815,0.1929163387352678,0,1,1,1,1,1,cases/granite_medium.yaml,granite_medium,medium,medium,mixed,moderate
granite_medium,49,10,10.5,Center,16.083952837903794,19.45971100416014,15.308174245393758,17.14546896769521,17.916220378912733,18.75,98.8146176734923,4.0,98.8146176734923,100.0,99.73263770511747,99.53211598395555,0.5714285714285714,4,100.0,100.0,100.0,0.4,4,1.1,P32_derived_Jv_proxy,1.3995427976560755,1.9770700026943366,0.7691105050920306,0.9403233742878602,0.9517669194675938,0.920682757060604,112,4,2,110,0.9821428571428571,0.017857142857142856,7.0,0.5714285714285714,1.4260282901033823,0.5714285714285714,0.025464790894703253,1.4005634992086788,0.5571509631028876,0.4668179740039984,-0.0903329890988892,1,1,1,1,1,1,cases/granite_medium.yaml,granite_medium,medium,medium,mixed,moderate
granite_medium,49,20,20.5,Center,15.41997198930588,18.011761061074967,20.74437901039816,19.802798047555296,19.683038972382555,18.75,100.0,4.0,100.0,100.0,99.86631885255873,100.0,0.2857142857142857,2,100.0,100.0,100.0,0.2,2,1.1,P32_derived_Jv_proxy,1.5241407904205337,1.9405774010329904,0.849321811699394,0.9947213720145752,1.3452929113480157,1.0927881457921051,75,2,2,73,0.9733333333333334,0.02666666666666667,7.0,0.2857142857142857,0.954929658551372,0.2857142857142857,0.025464790894703253,0.9294648676566688,0.276867442142562,0.4061495756063219,0.12928213346375994,0,1,1,1,1,1,cases/granite_medium.yaml,granite_medium,medium,medium,mixed,moderate
granite_medium,49,30,30.5,Center,15.70803760261675,19.374611702557704,19.66272871071615,16.791994811677377,19.96731615293651,18.75,99.61407126375924,4.0,99.61407126375924,100.0,99.61598890532413,100.0,0.5714285714285714,4,99.9557009253785,100.0,99.9557009253785,0.5,5,1.1,P32_derived_Jv_proxy,1.6033662328428935,2.0037804737994027,0.8510089040231382,0.9449752299402078,1.2517622638897044,1.0305918105342242,86,4,2,84,0.9767441860465116,0.023255813953488372,7.0,0.5714285714285714,1.0949860084722398,0.5714285714285714,0.025464790894703253,1.0695212175775366,0.18726252294409396,0.41150657761532716,0.2242440546712332,0,1,1,1,1,1,cases/granite_medium.yaml,granite_medium,medium,medium,mixed,moderate
granite_medium,49,40,40.5,Center,15.890497270083667,18.788310931510665,15.517781969661263,15.453789783402074,18.211207664419778,18.75,99.89402166272359,4.0,99.89402166272359,100.0,99.86631885255873,100.0,0.2857142857142857,2,100.0,100.0,100.0,1.0,10,1.1,P32_derived_Jv_proxy,1.4835258779376395,2.039127838171209,0.8137247045740205,0.9755195898514384,0.9765447679775195,0.9692839197097274,91,2,2,89,0.978021978021978,0.02197802197802198,7.0,0.2857142857142857,1.158647985708998,0.2857142857142857,0.025464790894703253,1.1331831948142947,0.3284147368860426,0.44881445157155897,0.12039971468551636,1,1,1,1,1,1,cases/granite_medium.yaml,granite_medium,medium,medium,mixed,moderate
granite_medium,49,50,50.5,Center,15.989054190067668,18.60708610265051,17.99871804194958,16.242166801639776,20.839123562040697,18.71945795466483,97.63684301839658,4.0,97.63684301839658,100.0,98.9546461419719,99.53211598395555,1.2857142857142858,9,100.0,100.0,100.0,0.8,8,1.1,P32_derived_Jv_proxy,1.4490809082913834,1.8871810372102564,0.8329329341064164,1.0006301870681273,1.1256899769049695,1.1199563137976905,98,9,2,96,0.9795918367346939,0.02040816326530612,7.0,1.2857142857142858,1.2477747538404593,1.2857142857142858,0.025464790894703253,1.2223099629457561,0.30633213891989297,0.4223132327017953,0.11598109378190236,1,1,1,1,1,1,cases/granite_medium.yaml,granite_medium,medium,medium,mixed,moderate
granite_medium,49,60,60.5,Center,15.277268160832822,17.20886490517578,13.483374874265795,12.895726120054363,16.93033216587404,18.75,100.0,4.0,100.0,100.0,99.73263770511747,99.53211598395555,0.5714285714285714,4,100.0,100.0,100.0,0.5,5,1.1,P32_derived_Jv_proxy,1.4051748958772539,2.1161795493447535,0.7673141075131426,1.0711784664713686,0.8825776135051338,0.9838145780772579,81,4,1,80,0.9876543209876543,0.012345679012345678,7.0,0.5714285714285714,1.0313240312354817,0.5714285714285714,0.012732395447351627,1.0185916357881302,0.11429089395477077,0.42490966292172916,0.3106187689669584,1,1,1,1,1,1,cases/granite_medium.yaml,granite_medium,medium,medium,mixed,moderate
granite_medium,49,70,70.5,Center,16.17953973577281,17.695641305433814,20.2551090564664,22.392332823544947,22.000644584517847,18.75,99.66217624225237,4.0,99.66217624225237,100.0,99.5491483316035,99.53211598395555,0.7142857142857143,5,99.06573570674585,100.0,99.06573570674585,0.5,5,1.1,P32_derived_Jv_proxy,1.4267576389426915,1.789217237852694,0.7601050585352687,0.8801099366306078,1.2518964931791319,1.2432804330048266,103,5,1,102,0.9902912621359223,0.009708737864077669,7.0,0.7142857142857143,1.3114367310772175,0.7142857142857143,0.012732395447351627,1.298704335629866,0.3322908877898664,0.42879854110819327,0.09650765331832689,0,1,1,1,1,1,cases/granite_medium.yaml,granite_medium,medium,medium,mixed,moderate
granite_medium,49,80,80.5,Center,16.133713351997223,18.980243767757656,15.580579507065524,14.677849200050597,18.914803520335646,18.75,100.0,4.0,100.0,100.0,99.93315942627937,100.0,0.14285714285714285,1,99.28441221411266,100.0,99.28441221411266,0.5,5,1.1,P32_derived_Jv_proxy,1.512957549340148,1.9997152123158748,0.7874232425535401,1.0253224805356316,0.9657156518859792,0.9965521914142549,91,1,0,91,1.0,0.0,7.0,0.14285714285714285,1.158647985708998,0.14285714285714285,0.0,1.158647985708998,0.505737890448207,0.37481887878997977,-0.13091901165822728,1,1,1,1,1,1,cases/granite_medium.yaml,granite_medium,medium,medium,mixed,moderate
granite_medium,50,10,10.5,Center,14.989058815344286,17.397450690806206,15.437517142502715,12.469503796998803,22.781326093051717,18.75,100.0,4.0,100.0,100.0,99.86631885255873,100.0,0.2857142857142857,2,99.97675530067373,100.0,99.97675530067373,1.0,10,1.1,P32_derived_Jv_proxy,1.5392968028564442,1.8831432324499884,0.7990046882232779,1.2439277892950458,1.0299190451303948,1.3094634666842686,87,2,0,87,1.0,0.0,7.0,0.2857142857142857,1.1077184039195915,0.2857142857142857,0.0,1.1077184039195915,0.14861878109833437,0.46368029898168217,0.3150615178833478,1,1,1,0,1,1,cases/granite_medium.yaml,granite_medium,medium,medium,mixed,moderate
granite_medium,50,20,20.5,Center,15.48542742562192,17.862476856113094,14.30999657600338,14.270489609345685,18.001266860000246,18.75,98.13752468350422,4.0,98.13752468350422,100.0,98.83799734217858,99.53211598395555,1.2857142857142858,9,99.8351027642598,100.0,99.8351027642598,0.9,9,1.1,P32_derived_Jv_proxy,1.3212267543772647,1.8270711589018265,0.8092280787054913,1.0432524595679455,0.9240943877549229,1.0077699193121503,86,9,3,83,0.9651162790697675,0.03488372093023256,7.0,1.2857142857142858,1.0949860084722398,1.2857142857142858,0.03819718634205488,1.056788822130185,0.23523243362003576,0.44917111424616796,0.2139386806261322,1,1,1,1,1,1,cases/granite_medium.yaml,granite_medium,medium,medium,mixed,moderate
granite_medium,50,30,30.5,Center,15.502511794952715,18.19392210653758,15.069030870831481,13.47505526732953,20.552444653989767,18.75,100.0,4.0,100.0,100.0,99.7994782788381,100.0,0.42857142857142855,3,100.0,100.0,100.0,0.5,5,1.1,P32_derived_Jv_proxy,1.572414132861042,1.9559370064089412,0.7919063224720547,1.1069557459213057,0.972038020041219,1.1296324417374912,74,3,0,74,1.0,0.0,7.0,0.42857142857142855,0.9421972631040204,0.42857142857142855,0.0,0.9421972631040204,0.46923742441660776,0.45094485875369117,-0.018292565662916593,1,1,1,1,1,1,cases/granite_medium.yaml,granite_medium,medium,medium,mixed,moderate
