case_name,seed,face_x_idx,face_x_coord,borehole_name,Q_face_mean,Qp_face_mean,Q_bh_mean,Q_bh_median,Qp_bh_mean,Qp_bh_median,RQD_bh_mean,Jn_bh_mean,Jr_bh_mean,Ja_bh_mean,Jw_bh_mean,SRF_bh_mean,Q_ratio_bh_to_face,Qp_ratio_bh_to_face,face_fracture_count,bh_fracture_count,common_fracture_count,missed_fracture_count,miss_ratio,detection_ratio,bh_window_length,bh_fracture_frequency,face_fracture_density,bh_union_fracture_frequency,common_fracture_density,missed_fracture_density,orientation_bias_bh,face_orientation_bias,orientation_bias_gap_to_face,Q_match_strict,Q_match_normal,Q_match_loose,Qp_match_strict,Qp_match_normal,Qp_match_loose
granite_2sets,43,30,30.5,Center,23.057492184593375,25.384033546706778,32.601376356242675,32.104364894624176,38.5321739300664,34.3,94.99169796464784,4.0,1.8487331074401614,1.1819044372946834,0.8383740476761583,1.0724530384979736,1.4139168342872241,1.5179689177122684,50,1,1,49,0.98,0.02,7.0,0.14285714285714285,0.6366197723675814,0.14285714285714285,0.012732395447351627,0.6238873769202297,0.7177312813495413,0.5501188958242083,-0.16761238552533309,0,1,1,0,0,1
granite_2sets,43,40,40.5,Center,21.39582889928964,24.3920997367658,34.88546260316873,34.59193419446624,35.413717732705784,34.3,95.33235077840719,4.0,1.7709877912778835,1.2022232987562815,0.7856906643525142,0.8820310167710481,1.630479602700831,1.451851956776287,48,1,1,47,0.9791666666666666,0.020833333333333332,7.0,0.14285714285714285,0.6111549814728781,0.14285714285714285,0.012732395447351627,0.5984225860255264,0.5788644380944571,0.5132135335542523,-0.06565090454020484,0,0,1,0,1,1
granite_2sets,43,50,50.5,Center,23.077683192638663,25.42553429357085,24.457061894313586,22.619549114042364,37.7605955052918,34.3,94.8394701956267,4.0,1.813024558783653,1.2002974720891026,0.7784083817602602,1.2086533050017532,1.0597711083110335,1.4851446215169615,44,2,1,43,0.9772727272727273,0.022727272727272728,7.0,0.2857142857142857,0.5602253996834716,0.2857142857142857,0.012732395447351627,0.5474930042361199,0.5548811513001222,0.5345661719656363,-0.020314979334485894,1,1,1,0,1,1
granite_2sets,43,60,60.5,Center,21.750633275712755,24.348526959202978,33.187260358542744,24.94101704280095,32.535883583009216,34.3,96.16487140863536,4.0,1.707786695467334,1.2804991320426733,0.8508582893264387,0.9549100123832966,1.5258066253914724,1.336256753335613,50,2,1,49,0.98,0.02,7.0,0.2857142857142857,0.6366197723675814,0.2857142857142857,0.012732395447351627,0.6238873769202297,0.42852838108429125,0.4965056846508521,0.06797730356656084,0,0,1,0,1,1
granite_2sets,43,70,70.5,Center,22.7951392300668,24.67015568995564,29.231625725211988,27.252079839422112,37.30099701838303,34.3,95.86276990885578,4.0,1.8119186782489094,1.217430554464008,0.7749456858026204,1.0076854579923347,1.2823622365357374,1.5119887157246434,51,2,1,50,0.9803921568627451,0.0196078431372549,7.0,0.2857142857142857,0.649352167814933,0.2857142857142857,0.012732395447351627,0.6366197723675814,0.580465128345919,0.532727406349996,-0.047737721995922966,0,1,1,0,0,1
granite_2sets,43,80,80.5,Center,19.305743546545187,23.081612460075863,24.3198124718621,25.20396695990344,32.05397437643048,34.3,95.85714285714286,4.0,1.6942969714065022,1.2804983612339067,0.8395264312951187,1.1215749446431096,1.2597190267874554,1.3887233585553895,48,1,1,47,0.9791666666666666,0.020833333333333332,7.0,0.14285714285714285,0.6111549814728781,0.14285714285714285,0.012732395447351627,0.5984225860255264,0.6241416902680885,0.5346180190990935,-0.08952367116899507,0,1,1,0,1,1
granite_2sets,44,10,10.5,Center,19.646960557999844,23.23354093914718,32.12403437121576,31.238357706945163,40.03115594765431,34.3,92.11595515304002,4.0,1.9561447044608258,1.1529177451493344,0.8483109548948455,1.1003461032592246,1.6350638194840525,1.722989881417693,45,2,0,45,1.0,0.0,7.0,0.2857142857142857,0.5729577951308232,0.2857142857142857,0.0,0.5729577951308232,0.4774048472660467,0.5771246947836677,0.09971984751762097,0,0,1,0,0,1
granite_2sets,44,20,20.5,Center,22.725813492143548,26.16888461331803,26.732457860896723,21.174777304612324,28.78823806796881,34.3,96.592440521395,4.0,1.547256692553778,1.3562130551145546,0.8154263785742245,0.9564629750765266,1.176303672039652,1.1000941955820969,45,2,0,45,1.0,0.0,7.0,0.2857142857142857,0.5729577951308232,0.2857142857142857,0.0,0.5729577951308232,0.6082585075095865,0.5407020102443612,-0.06755649726522539,1,1,1,1,1,1
granite_2sets,44,30,30.5,Center,22.083360151249238,23.839750800843092,33.71173494709991,28.355702193432712,33.55475680758445,34.3,95.87073373595558,4.0,1.75,1.25,0.791955200100956,0.9533002678104114,1.5265672758225095,1.4075129009485192,32,0,0,32,1.0,0.0,7.0,0.0,0.40743665431525206,0.0,0.0,0.40743665431525206,0.0,0.5356349928461193,0.5356349928461193,0,0,1,0,1,1
granite_2sets,44,40,40.5,Center,18.885540891772084,23.4481291221274,38.37446121428706,34.89961133228862,34.91103163384625,34.3,94.46978089568893,4.0,1.7794397736921397,1.2077593390789814,0.829537533192663,0.8836437821206415,2.0319492798326877,1.4888621370180701,31,1,0,31,1.0,0.0,7.0,0.14285714285714285,0.39470425886790045,0.14285714285714285,0.0,0.39470425886790045,0.3423891141530404,0.5405549049801424,0.19816579082710195,0,0,0,0,1,1
